"train_time","test_time","auc","participant"
-0.2,-0.2,0.563950320512821,1
-0.2,-0.2,0.596750801282051,2
-0.2,-0.2,0.46484375,3
-0.2,-0.2,0.49353766025641,4
-0.2,-0.2,0.522850920447074,5
-0.2,-0.2,0.477199519230769,6
-0.2,-0.2,0.492195512820513,7
-0.2,-0.2,0.50015625,8
-0.2,-0.2,0.464423076923077,9
-0.2,-0.2,0.4928125,10
-0.18,-0.2,0.595865384615385,1
-0.18,-0.2,0.585773237179487,2
-0.18,-0.2,0.4653125,3
-0.18,-0.2,0.499947916666667,4
-0.18,-0.2,0.481603385930309,5
-0.18,-0.2,0.50484375,6
-0.18,-0.2,0.503798076923077,7
-0.18,-0.2,0.545625,8
-0.18,-0.2,0.473076923076923,9
-0.18,-0.2,0.45734375,10
-0.16,-0.2,0.573741987179487,1
-0.16,-0.2,0.47931891025641,2
-0.16,-0.2,0.5559375,3
-0.16,-0.2,0.457788461538462,4
-0.16,-0.2,0.465064102564103,5
-0.16,-0.2,0.438846153846154,6
-0.16,-0.2,0.502095352564103,7
-0.16,-0.2,0.54765625,8
-0.16,-0.2,0.493589743589744,9
-0.16,-0.2,0.48875,10
-0.14,-0.2,0.506935096153846,1
-0.14,-0.2,0.473529647435897,2
-0.14,-0.2,0.5521875,3
-0.14,-0.2,0.445633012820513,4
-0.14,-0.2,0.494793721236029,5
-0.14,-0.2,0.484383012820513,6
-0.14,-0.2,0.52140625,7
-0.14,-0.2,0.52359375,8
-0.14,-0.2,0.500961538461538,9
-0.14,-0.2,0.55734375,10
-0.12,-0.2,0.437636217948718,1
-0.12,-0.2,0.501189903846154,2
-0.12,-0.2,0.5171875,3
-0.12,-0.2,0.480488782051282,4
-0.12,-0.2,0.524987672583826,5
-0.12,-0.2,0.517672275641026,6
-0.12,-0.2,0.474242788461539,7
-0.12,-0.2,0.491875,8
-0.12,-0.2,0.497275641025641,9
-0.12,-0.2,0.52921875,10
-0.1,-0.2,0.474423076923077,1
-0.1,-0.2,0.515925480769231,2
-0.1,-0.2,0.4859375,3
-0.1,-0.2,0.486390224358974,4
-0.1,-0.2,0.467254273504273,5
-0.1,-0.2,0.482588141025641,6
-0.1,-0.2,0.527940705128205,7
-0.1,-0.2,0.49484375,8
-0.1,-0.2,0.482532051282051,9
-0.1,-0.2,0.49484375,10
-0.08,-0.2,0.467307692307692,1
-0.08,-0.2,0.500953525641026,2
